Timestep,Primary Energy Factor kWh/kWh delivered,Emissions Factor kgCO2e/kWh,Emissions Factor kgCO2e/kWh including out-of-scope emissions
16123,1.878638757,0.100333307,0.100333307
16124,2.017779214,0.103204512,0.103204512
16125,2.203495376,0.092061265,0.092061265
16126,2.295319588,0.086276161,0.086276161
16127,2.406517046,0.086648512,0.086648512
16128,2.429367453,0.084680378,0.084680378
16129,2.483953056,0.081995856,0.081995856
16130,2.520470345,0.078441085,0.078441085
16131,2.588468928,0.074058324,0.074058324
16132,2.789604711,0.068690626,0.068690626
16133,2.795949703,0.061505516,0.061505516
16134,2.796042697,0.061645165,0.061645165
16135,2.774128401,0.056813884,0.056813884
16136,2.774920308,0.059022642,0.059022642
16137,2.782135363,0.05829692,0.05829692
16138,2.828811584,0.066938812,0.066938812
16139,2.854019161,0.068672338,0.068672338
16140,2.848745304,0.066771571,0.066771571
16141,2.819898354,0.06589648,0.06589648
16142,2.849442081,0.070526564,0.070526564
16143,2.864369225,0.072296591,0.072296591
16144,2.87638981,0.075226909,0.075226909
16145,2.894975616,0.075236603,0.075236603
16146,2.82903762,0.068987618,0.068987618
16147,2.741034983,0.070099614,0.070099614
16148,2.663792919,0.068462476,0.068462476
16149,2.637640133,0.066163016,0.066163016
16150,2.607460363,0.06427236,0.06427236
16151,2.564569095,0.0608182,0.0608182
16152,2.541215812,0.058268143,0.058268143
16153,2.559352903,0.060102635,0.060102635
16154,2.591987183,0.06238687,0.06238687
16155,2.638693037,0.064549946,0.064549946
16156,2.716342403,0.067953114,0.067953114
16157,2.815810739,0.068085431,0.068085431
16158,2.863457483,0.06773458,0.06773458
16159,2.894419427,0.072914636,0.072914636
16160,2.90600562,0.081606182,0.081606182
16161,2.919478334,0.088568922,0.088568922
16162,2.935751303,0.094696304,0.094696304
16163,2.901597434,0.091270892,0.091270892
16164,2.880746905,0.083283145,0.083283145
16165,2.854642903,0.082226615,0.082226615
16166,2.831072159,0.077889289,0.077889289
16167,2.835001916,0.075722102,0.075722102
16168,2.865169746,0.079341785,0.079341785
16169,2.848642355,0.07569509,0.07569509
16170,2.864048788,0.078962346,0.078962346
16171,2.869911185,0.073428388,0.073428388
16172,2.616974306,0.074884749,0.074884749
16173,2.500757704,0.070994126,0.070994126
16174,2.39990052,0.070603564,0.070603564
16175,2.328595133,0.069112816,0.069112816
16176,2.286098328,0.068796401,0.068796401
16177,2.207941284,0.066198292,0.066198292
16178,2.095133312,0.067298635,0.067298635
16179,1.98825368,0.058241738,0.058241738
16180,1.739973807,0.053071954,0.053071954
16181,1.790357087,0.051967976,0.051967976
16182,1.916785365,0.048944776,0.048944776
16183,1.984018114,0.044045883,0.044045883
16184,2.120342442,0.050448406,0.050448406
16185,2.025405668,0.055636745,0.055636745
16186,2.015797764,0.068491402,0.068491402
16187,2.166853782,0.060071572,0.060071572
16188,2.101315211,0.059938383,0.059938383
16189,2.065607826,0.068860612,0.068860612
16190,1.972803343,0.068363586,0.068363586
16191,2.004549142,0.07877959,0.07877959
16192,1.966520835,0.083895914,0.083895914
16193,1.853744038,0.08177443,0.08177443
16194,1.775419928,0.082096427,0.082096427
16195,1.742003953,0.079571274,0.079571274
16196,1.734109603,0.078442946,0.078442946
16197,1.711509625,0.076835274,0.076835274
16198,1.654472556,0.072593458,0.072593458
16199,1.737959352,0.084338411,0.084338411
16200,1.74119714,0.086073142,0.086073142
16201,1.843476005,0.097686822,0.097686822
16202,1.832446029,0.095721662,0.095721662
16203,1.851518501,0.098678498,0.098678498
16204,1.856397217,0.099715874,0.099715874
16205,2.121548587,0.10315842,0.10315842
16206,2.23272319,0.117316451,0.117316451
16207,2.256896311,0.115346803,0.115346803
16208,2.227938383,0.123284073,0.123284073
16209,2.243773057,0.138356458,0.138356458
16210,2.239741433,0.140275949,0.140275949
16211,2.171031229,0.140396704,0.140396704
16212,2.105309498,0.132259765,0.132259765
16213,2.061546717,0.123271124,0.123271124
16214,2.008896754,0.11900575,0.11900575
16215,1.926742749,0.110537223,0.110537223
16216,1.810698824,0.096173456,0.096173456
16217,1.754410996,0.087950869,0.087950869
16218,1.729155246,0.082480935,0.082480935
16219,1.810814318,0.085786411,0.085786411
16220,1.679854769,0.068984841,0.068984841
16221,1.615802371,0.058256762,0.058256762
