event_count,decile,day_name,day_wk_mon1,simple_labels2_based_on_900k_sample,median_event_volume,mean_event_volume,median_dur,mean_dur
0.447,2,Saturday,6,2_shower,30.16906382,32.78055602,336.1852465,343.4910569
0.142358079,2,Saturday,6,3_bath,59.35434604,62.30241102,647.1852465,646.3096705
0.079,2,Saturday,6,2b_shower_big,87.71411918,93.21663256,942.6852465,1047.888371
16.234,2,Sunday,7,0_small_tap,1.400873387,1.525798484,16.18524648,16.94290665
1.811,2,Sunday,7,1_long_tap,9.405199838,9.784638238,105.1852465,106.6894248
0.495,2,Sunday,7,2_shower,30.40240712,33.30229713,342.1852465,347.810995
0.156768559,2,Sunday,7,3_bath,60.46482742,63.31126068,646.1852465,645.6173453
0.081,2,Sunday,7,2b_shower_big,84.02705656,94.2086185,951.1852465,1038.849676
16.213,3,Monday,1,0_small_tap,1.386126689,1.492561722,15.40130814,16.34963641
1.837,3,Monday,1,1_long_tap,9.683333618,10.18125295,107.4013081,108.1338309
0.644,3,Monday,1,2_shower,33.37197179,34.67465822,343.4013081,345.3158651
0.1930131,3,Monday,1,3_bath,61.83609392,64.56973018,640.9013081,642.4733802
0.089,3,Monday,1,2b_shower_big,93.14972322,96.27012354,969.4013081,1061.940269
15.653,3,Tuesday,2,0_small_tap,1.394269797,1.485050361,15.40130814,16.33139933
1.789,3,Tuesday,2,1_long_tap,9.842785903,10.2436835,108.4013081,109.1855026
0.633,3,Tuesday,2,2_shower,33.26262194,34.80532738,341.4013081,345.8751543
0.191484716,3,Tuesday,2,3_bath,63.26772698,64.51072257,643.4013081,645.3035303
0.091,3,Tuesday,2,2b_shower_big,97.24554643,95.37484359,992.4013081,1040.465138
15.238,3,Wednesday,3,0_small_tap,1.361779068,1.474433815,15.40130814,16.22805586
1.735,3,Wednesday,3,1_long_tap,9.813653024,10.20148874,106.4013081,108.8055634
0.638,3,Wednesday,3,2_shower,32.90552383,34.64403915,343.4013081,346.9606831
0.194541485,3,Wednesday,3,3_bath,62.13325136,63.8561756,647.9013081,649.0050817
0.092,3,Wednesday,3,2b_shower_big,89.71833829,96.74148081,962.4013081,1035.503498
15.147,3,Thursday,4,0_small_tap,1.37973079,1.478557281,15.40130814,16.27060905
1.715,3,Thursday,4,1_long_tap,9.926353373,10.24088723,107.4013081,108.933223
0.625,3,Thursday,4,2_shower,33.40126401,34.19172555,340.9013081,342.4586329
0.186026201,3,Thursday,4,3_bath,62.77380547,64.22820274,645.4013081,646.5874553
0.082,3,Thursday,4,2b_shower_big,98.16473387,98.28301348,962.4013081,1030.285923
15.839,3,Friday,5,0_small_tap,1.325369642,1.458297617,15.40130814,16.06088261
1.786,3,Friday,5,1_long_tap,9.816883358,10.23622494,107.4013081,108.4318891
0.658,3,Friday,5,2_shower,32.7175614,34.49269792,342.4013081,344.8231831
0.198471616,3,Friday,5,3_bath,63.05009848,64.18491319,643.4013081,643.2283123
0.087,3,Friday,5,2b_shower_big,95.93347635,100.7518603,1001.401308,1064.850675
16.333,3,Saturday,6,0_small_tap,1.36883247,1.467945486,15.40130814,16.19462121
1.83,3,Saturday,6,1_long_tap,9.688614686,10.16817391,107.4013081,108.7630102
0.651,3,Saturday,6,2_shower,32.34989993,34.0578132,343.4013081,346.0425779
0.19628821,3,Saturday,6,3_bath,62.94230583,64.73165555,649.4013081,647.1577184
0.099,3,Saturday,6,2b_shower_big,95.95254293,100.5760902,977.4013081,1047.96905
17.636,3,Sunday,7,0_small_tap,1.388535052,1.469836075,15.40130814,16.17334461
1.952,3,Sunday,7,1_long_tap,9.858549087,10.16709456,107.4013081,108.045685
0.681,3,Sunday,7,2_shower,33.16191021,34.38974121,346.4013081,347.8713396
0.208515284,3,Sunday,7,3_bath,63.91526304,65.104353,641.4013081,645.6679748
0.107,3,Sunday,7,2b_shower_big,98.51367323,101.3157279,965.9013081,1051.630224
17.494,4,Monday,1,0_small_tap,1.352585954,1.493295174,15.99841765,16.21623943
2.087,4,Monday,1,1_long_tap,9.788765034,10.30949727,107.9984176,109.5429721
0.775,4,Monday,1,2_shower,32.5807521,34.43629975,340.4984176,346.0395135
0.23231441,4,Monday,1,3_bath,65.77906993,65.43904135,646.9984176,647.0698462
0.107,4,Monday,1,2b_shower_big,93.84094516,95.88301606,991.9984176,1058.004747
17.194,4,Tuesday,2,0_small_tap,1.346492634,1.493961359,15.99841765,16.20303811
2.081,4,Tuesday,2,1_long_tap,10.06869358,10.45216405,108.9984176,110.2360414
0.768,4,Tuesday,2,2_shower,33.48445378,34.75825576,338.9984176,345.0318624
0.229912664,4,Tuesday,2,3_bath,64.63016023,65.82839945,640.9984176,643.7325948
0.105,4,Tuesday,2,2b_shower_big,98.19813044,102.7645658,982.9984176,1069.166048
16.349,4,Wednesday,3,0_small_tap,1.350537472,1.488438391,14.99841765,16.16013382
1.96,4,Wednesday,3,1_long_tap,10.0856864,10.39724593,108.9984176,109.7706948
0.733,4,Wednesday,3,2_shower,34.0733084,35.36975163,344.4984176,349.3362554
0.220742358,4,Wednesday,3,3_bath,67.22019489,67.18930098,645.4984176,646.7114611
0.094,4,Wednesday,3,2b_shower_big,94.70207428,99.18778052,995.4984176,1065.01586
16.393,4,Thursday,4,0_small_tap,1.356645162,1.487988202,14.99841765,16.15023283
1.969,4,Thursday,4,1_long_tap,10.03922737,10.38293583,107.9984176,109.7343912
0.733,4,Thursday,4,2_shower,34.45034527,35.49923207,342.9984176,347.5355798
0.221834061,4,Thursday,4,3_bath,65.65602791,66.53903455,640.9984176,644.3849722
0.107,4,Thursday,4,2b_shower_big,95.46825266,97.64545218,975.9984176,1027.930095
17.036,4,Friday,5,0_small_tap,1.361472582,1.486841113,14.99841765,16.15353316
2.013,4,Friday,5,1_long_tap,9.989776203,10.41284194,107.9984176,110.1469325
0.75,4,Friday,5,2_shower,34.56724653,35.56089628,347.4984176,348.0862554
0.226200873,4,Friday,5,3_bath,66.11088786,65.49366665,649.9984176,646.1832915
0.106,4,Friday,5,2b_shower_big,94.72583242,98.24254678,970.9984176,1032.274059
17.683,4,Saturday,6,0_small_tap,1.373264714,1.482236839,14.99841765,16.11722953
2.072,4,Saturday,6,1_long_tap,9.873088328,10.28181913,107.9984176,109.1733351
0.726,4,Saturday,6,2_shower,33.04705899,34.52852874,339.9984176,345.1888938
0.224454148,4,Saturday,6,3_bath,64.72183341,65.00916303,645.9984176,648.9248245
0.109,4,Saturday,6,2b_shower_big,94.83759418,101.8913826,972.9984176,1060.239797
18.709,4,Sunday,7,0_small_tap,1.361394185,1.491215631,15.99841765,16.22944075
2.246,4,Sunday,7,1_long_tap,9.948927051,10.30049287,107.9984176,109.5099688
0.801,4,Sunday,7,2_shower,33.25066207,34.41118454,339.9984176,345.0893267
0.245633188,4,Sunday,7,3_bath,65.72570633,66.16783274,645.9984176,648.5604011
0.127,4,Sunday,7,2b_shower_big,96.47992885,101.5694242,1007.498418,1073.784132
20.733,5,Monday,1,0_small_tap,1.358195841,1.467050639,14.47912809,15.58337519
2.114,5,Monday,1,1_long_tap,10.51402781,10.77356678,110.4791281,110.8883945
0.866,5,Monday,1,2_shower,33.29768559,35.2180707,341.4791281,345.0838712
0.259170306,5,Monday,1,3_bath,62.03704653,64.39247934,645.9791281,645.6506967
0.111,5,Monday,1,2b_shower_big,92.5461205,100.0514552,984.4791281,1040.664757
20.19,5,Tuesday,2,0_small_tap,1.355976519,1.472922438,15.47912809,15.59881921
2.11,5,Tuesday,2,1_long_tap,10.49064534,10.80250827,110.4791281,111.2706339
0.87,5,Tuesday,2,2_shower,33.1532589,35.53335796,340.4791281,347.4198396
0.261790393,5,Tuesday,2,3_bath,63.16458017,65.64451078,647.4791281,648.7500641
0.115,5,Tuesday,2,2b_shower_big,94.97298524,99.14466039,994.9791281,1046.238868
19.467,5,Wednesday,3,0_small_tap,1.361700902,1.466642692,14.47912809,15.53704315
1.999,5,Wednesday,3,1_long_tap,10.41038849,10.78093033,110.4791281,111.0235296
0.857,5,Wednesday,3,2_shower,33.77452961,35.56817021,345.4791281,347.9555061
0.256331878,5,Wednesday,3,3_bath,63.44728396,65.46744375,648.4791281,650.3776788
0.111,5,Wednesday,3,2b_shower_big,92.51266725,100.3937997,971.4791281,1052.769251
19.321,5,Thursday,4,0_small_tap,1.345853261,1.461753674,15.47912809,15.52546014
2.029,5,Thursday,4,1_long_tap,10.39369246,10.81600774,110.4791281,111.4521011
