Column, Variable, Description, Units, Notes,,,,,,,,,,,,,,,,,
1, Year,,,,,,,,,,,,,,,,,,,,
2, Month,,,,,,,,,,,,,,,,,,,,
3, Date,,,,,,,,,,,,,,,,,,,,
4, Hour,,,,,,,,,,,,,,,,,,,,
5, PWC, , , (on hour GMT),,,,,,,,,,,,,,,,,
6, CC, Cloud amount, oktas, (on hour GMT),,,,,,,,,,,,,,,,,
7, DBT, Dry Bulb Temperature, degrees Celcius, (on hour GMT),,,,,,,,,,,,,,,,,
8, WBT, Wet Bulb Temperature, degrees Celcius, (on hour GMT),,,,,,,,,,,,,,,,,
9, RH, Relative Humidity, % (on hour GMT),,,,,,,,,,,,,,,,,,
10, Press, Mean Sea Level Pressure, hPa, (on hour GMT),,,,,,,,,,,,,,,,,
11, WD, Wind Direction, degrees, (average over previous hour GMT),,,,,,,,,,,,,,,,,
12, WS, Wind Speed, knots, (average over previous hour GMT),,,,,,,,,,,,,,,,,
13, GSR, Global Irradiation (horizontal plane), W/m^2, (average over next hour in LAT),,,,,,,,,,,,,,,,,
14, DSR, Diffuse Irradiation (horizontal plane), W/m^2, (average over next hour in LAT),,,,,,,,,,,,,,,,,
15, Alt, Solar Altitude, degrees, (calculated on next half-hour in LAT),,,,,,,,,,,,,,,,,
16, Dec, Solar Declination, degrees, (calculated on next half-hour in LAT),,,,,,,,,,,,,,,,,
17-22, Missing Data Codes, see accompanying documentation for description,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Model parameters,,,,,,,,,,,,,,,,,,,,,
2003,2,4,1,,0,0.3,-0.6,82.9,993.3,250,6,0,0,,,0,0,0,0,0,0
2003,2,4,2,,0,0,-0.9,82.3,993.5,260,7,0,0,,,0,0,0,0,0,0
2003,2,4,3,,0,0.2,-0.7,82.7,993.7,270,8,0,0,,,0,0,0,0,0,0
2003,2,4,4,,0,0.7,-0.3,81.5,993.9,270,10,0,0,,,0,0,0,0,0,0
2003,2,4,5,,3,0.3,-0.6,82.9,994.1,270,6,0,0,,,0,0,0,0,0,0
2003,2,4,6,,0,-0.3,-1.1,83.8,994.7,280,4,0,0,,,0,0,0,0,0,0
2003,2,4,7,,3,0,-1,80.2,994.9,280,8,0,0,,,0,0,0,0,0,0
2003,2,4,8,,4,0.9,0.1,84.5,995.3,280,11,0,0,,,0,0,0,0,0,0
2003,2,4,9,,7,1.7,0.7,81.5,996.4,290,9,6.9,6.9,,,0,0,0,0,0,0
2003,2,4,10,,6,2.4,0.9,73.3,997.7,310,11,122.5,50.3,,,0,0,0,0,0,0
2003,2,4,11,,3,3.2,1.3,67.5,998.7,320,9,227.2,57.8,,,0,0,0,0,0,0
2003,2,4,12,,3,4,1.6,60.8,999.8,310,17,253.9,99.2,,,0,0,0,0,0,0
2003,2,4,13,,7,4.2,1.5,56.4,1000.7,320,18,128.9,124.4,,,0,0,0,0,0,0
2003,2,4,14,,8,1.9,1.4,90.7,1001.5,330,11,156.9,111.1,,,0,0,0,0,0,0
2003,2,4,15,,5,3.5,2.2,78,1001.9,300,6,139.2,127.8,,,0,0,0,0,0,0
2003,2,4,16,,3,5.1,2,52.1,1002.6,320,16,82.5,60,,,0,0,0,0,0,0
2003,2,4,17,,3,5.1,1.7,47.6,1003.5,310,17,56.4,55.3,,,0,0,0,0,0,0
2003,2,4,18,,2,3.6,0.9,55,1004.7,310,13,12.8,11.7,,,0,0,0,0,0,0
2003,2,4,19,,1,2.4,0.3,62.7,1005.9,320,8,0,0,,,0,0,0,0,0,0
2003,2,4,20,,2,2,-0.4,59.1,1006.6,310,6,0,0,,,0,0,0,0,0,0
2003,2,4,21,,4,2.5,-0.3,53.8,1007.2,310,12,0,0,,,0,0,0,0,0,0
2003,2,4,22,,0,2,0.1,65.4,1007.4,300,11,0,0,,,0,0,0,0,0,0
2003,2,4,23,,3,2.2,0.4,67.6,1008.1,300,10,0,0,,,0,0,0,0,0,0
2003,2,4,24,,1,1.1,-0.4,72.8,1008.4,310,9,0,0,,,0,0,0,0,0,0
2003,2,5,1,,0,0.8,-0.6,74,1008.8,290,8,0,0,,,0,0,0,0,0,0
2003,2,5,2,,0,0.2,-0.9,78.5,1009.2,280,6,0,0,,,0,0,0,0,0,0
2003,2,5,3,,4,0.4,-0.7,79,1009.2,290,9,0,0,,,0,0,0,0,0,0
2003,2,5,4,,0,0,-1.1,78.2,1009.5,290,7,0,0,,,0,0,0,0,0,0
2003,2,5,5,,5,0.6,-0.6,77.4,1009.5,290,9,0,0,,,0,0,0,0,0,0
2003,2,5,6,,7,0.8,-0.2,80.4,1010,310,9,0,0,,,0,0,0,0,0,0
2003,2,5,7,,6,0,-0.8,84.1,1010,280,8,0,0,,,0,0,0,0,0,0
2003,2,5,8,,1,-0.1,-0.9,83.9,1010.6,290,6,0,0,,,0,0,0,0,0,0
2003,2,5,9,,1,-0.4,-1.1,85.5,1011.2,290,5,16.7,9.4,,,0,0,0,0,0,0
2003,2,5,10,,1,0.6,-0.2,84,1012,300,4,122.8,33.6,,,0,0,0,0,0,0
2003,2,5,11,,1,1.8,0.8,81.3,1012.6,320,9,242.8,45.8,,,0,0,0,0,0,0
2003,2,5,12,,6,2.5,0.7,68,1013.2,330,9,349.7,75.6,,,0,0,0,0,0,0
2003,2,5,13,,6,3.2,1,62.3,1013.2,320,8,387.8,74.2,,,0,0,0,0,0,0
2003,2,5,14,,7,3.7,0.9,53.4,1013.5,340,7,250,158.6,,,0,0,0,0,0,0
2003,2,5,15,,7,3.7,1.3,59.9,1014,330,8,172.5,151.4,,,0,0,0,0,0,0
2003,2,5,16,,4,3.9,1.7,63.5,1014.8,330,8,167.2,55.8,,,0,0,0,0,0,0
2003,2,5,17,,2,3.3,1.2,64.1,1015.1,340,7,99.4,34.7,,,0,0,0,0,0,0
2003,2,5,18,,1,2.2,0.5,69.3,1015.8,330,5,15.3,9.4,,,0,0,0,0,0,0
2003,2,5,19,,1,0.7,-0.4,79.3,1016.6,320,2,0,0,,,0,0,0,0,0,0
2003,2,5,20,,1,-0.7,-1.5,82.8,1017.8,280,2,0,0,,,0,0,0,0,0,0
2003,2,5,21,,0,-1.2,-1.9,84.1,1018.1,280,2,0,0,,,0,0,0,0,0,0
2003,2,5,22,,1,-3,-3.6,83.3,1018.1,280,2,0,0,,,0,0,0,0,0,0
2003,2,5,23,,0,-2.8,-3.3,85.9,1018.7,0,0,0,0,,,0,0,0,0,0,0
2003,2,5,24,,0,-3.5,-4,84.7,1018.8,0,0,0,0,,,0,0,0,0,0,0
2003,2,6,1,,0,-4.2,-4.7,83.7,1019.2,0,0,0,0,,,0,0,0,0,0,0
2003,2,6,2,,0,-4.5,-4.9,85.8,1019.4,0,0,0,0,,,0,0,0,0,0,0
2003,2,6,3,,0,-4.8,-5.2,85.5,1019.5,0,0,0,0,,,0,0,0,0,0,0
2003,2,6,4,,0,-5.4,-5.8,84.6,1019.7,0,0,0,0,,,0,0,0,0,0,0
2003,2,6,5,,1,-4.7,-5.1,85.6,1019.5,0,0,0,0,,,0,0,0,0,0,0
2003,2,6,6,,1,-4,-4.4,86.8,1019.4,0,0,0,0,,,0,0,0,0,0,0
2003,2,6,7,,7,-3.8,-4.2,87,1019.1,0,0,0,0,,,0,0,0,0,0,0
2003,2,6,8,,7,-3.8,-4.2,87,1019.1,0,0,0,0,,,0,0,0,0,0,0
2003,2,6,9,,7,-1.6,-2,90.1,1019,160,2,11.7,10.6,,,0,0,0,0,0,0
2003,2,6,10,,7,0.1,-0.3,92.2,1018.9,130,2,67.2,66.4,,,0,0,0,0,0,0
2003,2,6,11,,7,1.9,1.3,88.7,1018.7,160,2,153.9,138.1,,,0,0,0,0,0,0
2003,2,6,12,,7,3.5,2.1,76.1,1018.8,210,2,161.9,158.3,,,0,0,0,0,0,0
2003,2,6,13,,8,5,3.3,72.9,1018.2,190,5,177.8,174.4,,,0,0,0,0,0,0
2003,2,6,14,,8,6.2,4.3,71.4,1017.5,200,10,170.6,168.9,,,0,0,0,0,0,0
2003,2,6,15,,8,6.9,5.2,75.1,1017,200,10,150.6,146.9,,,0,0,0,0,0,0
2003,2,6,16,,8,7,5.5,77.9,1016.5,190,7,56.9,56.7,,,0,0,0,0,0,0
2003,2,6,17,,8,6.4,5.4,84.8,1016.5,210,10,22.5,22.5,,,0,0,0,0,0,0
2003,2,6,18,,8,6.3,5,80.3,1016.5,210,9,3.9,3.9,,,0,0,0,0,0,0
2003,2,6,19,,8,5.7,5.1,90.6,1016.8,200,7,0,0,,,0,0,0,0,0,0
2003,2,6,20,,8,5.9,5.2,89.1,1017,210,6,0,0,,,0,0,0,0,0,0
2003,2,6,21,,8,5.8,5.4,93.8,1016.8,190,7,0,0,,,0,0,0,0,0,0
2003,2,6,22,,8,6,5.5,92.2,1017,210,3,0,0,,,0,0,0,0,0,0
2003,2,6,23,,8,6,5.7,95.4,1016.7,200,2,0,0,,,0,0,0,0,0,0
2003,2,6,24,,8,6,5.6,93.8,1017,220,2,0,0,,,0,0,0,0,0,0
2003,2,7,1,,8,5.9,5.6,95.4,1017.4,0,0,0,0,,,0,0,0,0,0,0
2003,2,7,2,,8,5.8,5.6,97,1017.5,240,3,0,0,,,0,0,0,0,0,0
2003,2,7,3,,7,6.1,5.7,93.7,1017.7,250,1,0,0,,,0,0,0,0,0,0
2003,2,7,4,,8,5.8,5.7,98.5,1017.6,220,2,0,0,,,0,0,0,0,0,0
2003,2,7,5,,6,3.9,3.7,96.5,1017.8,0,0,0,0,,,0,0,0,0,0,0
2003,2,7,6,,7,5.9,5.6,95.4,1017.8,230,4,0,0,,,0,0,0,0,0,0
2003,2,7,7,,7,6.1,6,98.4,1017.9,210,2,0,0,,,0,0,0,0,0,0
2003,2,7,8,,7,6.8,6.5,95.5,1018.2,220,1,0,0,,,0,0,0,0,0,0
2003,2,7,9,,7,7.4,7,94.1,1019,250,2,6.9,6.9,,,0,0,0,0,0,0
2003,2,7,10,,7,7.9,7.4,92.8,1019.4,260,7,44.4,44.2,,,0,0,0,0,0,0
2003,2,7,11,,7,8.9,8.1,89,1019.6,260,9,91.1,90.3,,,0,0,0,0,0,0
2003,2,7,12,,8,9.1,8.2,87.8,1020,260,8,155.3,152.8,,,0,0,0,0,0,0
2003,2,7,13,,7,9.4,8.3,85.2,1020.1,260,9,147.5,146.1,,,0,0,0,0,0,0
2003,2,7,14,,7,10.1,8.5,79.2,1020,270,9,127.2,125.8,,,0,0,0,0,0,0
2003,2,7,15,,7,10.6,8.9,78.3,1020,270,12,120.3,119.2,,,0,0,0,0,0,0
2003,2,7,16,,7,11,9,75,1019.9,260,8,76.9,76.9,,,0,0,0,0,0,0
2003,2,7,17,,7,11,9.1,76.2,1020,250,6,45.3,45.3,,,0,0,0,0,0,0
2003,2,7,18,,7,10.6,9,79.6,1020.1,220,4,7.2,7.2,,,0,0,0,0,0,0
2003,2,7,19,,8,10.4,8.8,79.5,1020.3,230,5,0,0,,,0,0,0,0,0,0
2003,2,7,20,,8,10.2,8.8,81.8,1020.8,220,5,0,0,,,0,0,0,0,0,0
2003,2,7,21,,8,10,8.6,81.8,1020.9,210,5,0,0,,,0,0,0,0,0,0
2003,2,7,22,,8,9.7,8.5,84.1,1021.1,220,5,0,0,,,0,0,0,0,0,0
2003,2,7,23,,8,9.4,8.3,85.2,1021.1,210,4,0,0,,,0,0,0,0,0,0
2003,2,7,24,,8,9.2,8.1,85.1,1020.9,200,7,0,0,,,0,0,0,0,0,0
2003,2,8,1,,8,8.9,7.9,86.2,1021.2,220,5,0,0,,,0,0,0,0,0,0
2003,2,8,2,,8,8.7,7.7,86.1,1021.2,210,7,0,0,,,0,0,0,0,0,0
2003,2,8,3,,8,8.5,7.7,88.8,1021.1,220,5,0,0,,,0,0,0,0,0,0
2003,2,8,4,,8,8.3,7.9,94.3,1020.9,210,4,0,0,,,0,0,0,0,0,0
2003,2,8,5,,6,8.6,8,91.6,1020,190,8,0,0,,,0,0,0,0,0,0
2003,2,8,6,,8,8.4,7.8,91.6,1020.3,200,6,0,0,,,0,0,0,0,0,0
2003,2,8,7,,7,8.5,7.9,91.6,1020.2,210,4,0,0,,,0,0,0,0,0,0
2003,2,8,8,,7,8.9,8,87.6,1020,210,5,0,0,,,0,0,0,0,0,0
2003,2,8,9,,7,8.6,8,91.6,1020.3,210,5,4.4,4.4,,,0,0,0,0,0,0
2003,2,8,10,,7,9,8.3,90.4,1020.4,210,7,36.1,36.1,,,0,0,0,0,0,0
2003,2,8,11,,7,9.3,8.5,89.2,1020.3,210,8,52.8,52.8,,,0,0,0,0,0,0
2003,2,8,12,,8,9.6,8.5,85.3,1020.2,210,9,73.1,73.1,,,0,0,0,0,0,0
2003,2,8,13,,8,10.2,8.7,80.6,1019.8,220,9,121.9,121.9,,,0,0,0,0,0,0
2003,2,8,14,,8,10,8.6,81.8,1019.5,230,8,53.9,53.9,,,0,0,0,0,0,0
2003,2,8,15,,8,10.7,8.6,73.6,1018.7,210,9,108.3,107.5,,,0,0,0,0,0,0
2003,2,8,16,,7,10.4,8.5,75.7,1018.3,200,9,51.1,51.1,,,0,0,0,0,0,0
2003,2,8,17,,7,10.3,8.4,75.7,1018.1,210,8,31.7,31.7,,,0,0,0,0,0,0
2003,2,8,18,,7,9.9,8.1,76.6,1018.2,210,10,3.6,3.6,,,0,0,0,0,0,0
2003,2,8,19,,7,9.6,8,78.8,1018.3,200,10,0,0,,,0,0,0,0,0,0
2003,2,8,20,,7,9.4,8,81.3,1018.3,200,11,0,0,,,0,0,0,0,0,0
2003,2,8,21,,8,8.9,7.8,84.9,1018.5,200,11,0,0,,,0,0,0,0,0,0
2003,2,8,22,,8,8.8,7.7,84.8,1018.4,190,8,0,0,,,0,0,0,0,0,0
2003,2,8,23,,7,8.7,7.5,83.5,1018,200,9,0,0,,,0,0,0,0,0,0
2003,2,8,24,,6,8.4,7.4,86,1017.2,190,9,0,0,,,0,0,0,0,0,0
2003,2,9,1,,8,8.1,7.3,88.7,1016.8,190,8,0,0,,,0,0,0,0,0,0
2003,2,9,2,,6,7.9,7.3,91.4,1016.1,190,9,0,0,,,0,0,0,0,0,0
2003,2,9,3,,7,7.8,7,88.5,1015.6,190,7,0,0,,,0,0,0,0,0,0
2003,2,9,4,,7,7.8,7,88.5,1014.7,190,9,0,0,,,0,0,0,0,0,0
2003,2,9,5,,8,7.6,7,91.3,1013.8,190,9,0,0,,,0,0,0,0,0,0
2003,2,9,6,,6,7.7,7.1,91.3,1013.1,180,7,0,0,,,0,0,0,0,0,0
2003,2,9,7,,6,7.6,7.1,92.8,1012.7,180,9,0,0,,,0,0,0,0,0,0
2003,2,9,8,,8,7.3,6.9,94.1,1012.2,170,9,0,0,,,0,0,0,0,0,0
2003,2,9,9,,8,7.3,6.8,92.7,1012,180,10,2.8,2.5,,,0,0,0,0,0,0
2003,2,9,10,,8,7.3,6.8,92.7,1011.9,190,9,18.9,18.6,,,0,0,0,0,0,0
2003,2,9,11,,8,7.1,6.8,95.5,1012,190,7,39.2,39.2,,,0,0,0,0,0,0
2003,2,9,12,,8,7.4,7.1,95.6,1012.3,210,5,72.2,72.2,,,0,0,0,0,0,0
2003,2,9,13,,8,7.4,6.8,91.2,1012.9,310,9,70.6,70.3,,,0,0,0,0,0,0
2003,2,9,14,,8,7.5,6.3,82.7,1013.2,330,9,46.9,46.7,,,0,0,0,0,0,0
2003,2,9,15,,8,7.9,6.5,80.2,1014.2,330,10,35.8,35.8,,,0,0,0,0,0,0
2003,2,9,16,,7,8.3,6.7,77.8,1014.8,330,8,55.6,55.6,,,0,0,0,0,0,0
2003,2,9,17,,7,8,6.2,74.7,1015.9,330,12,16.4,16.4,,,0,0,0,0,0,0
2003,2,9,18,,7,7.4,5.9,78.3,1016.7,330,8,3.3,3.3,,,0,0,0,0,0,0
2003,2,9,19,,6,6.9,5.3,76.5,1017.3,330,5,0,0,,,0,0,0,0,0,0
2003,2,9,20,,8,6.5,4.9,76,1018.4,330,5,0,0,,,0,0,0,0,0,0
2003,2,9,21,,8,6.8,5,73.5,1019.1,330,6,0,0,,,0,0,0,0,0,0
2003,2,9,22,,8,6.3,4.8,77.3,1019.6,330,7,0,0,,,0,0,0,0,0,0
2003,2,9,23,,8,6.3,4.8,77.3,1020.1,330,5,0,0,,,0,0,0,0,0,0
2003,2,9,24,,8,6,4.7,80,1020.4,340,5,0,0,,,0,0,0,0,0,0
2003,2,10,1,,8,5.8,4.7,82.9,1020.6,320,3,0,0,,,0,0,0,0,0,0
2003,2,10,2,,8,5.6,4.5,82.7,1020.8,0,0,0,0,,,0,0,0,0,0,0
2003,2,10,3,,8,5.2,4.4,87.2,1021.1,0,0,0,0,,,0,0,0,0,0,0
2003,2,10,4,,8,5,4.2,87.1,1020.8,0,0,0,0,,,0,0,0,0,0,0
2003,2,10,5,,8,4.7,4.1,90.2,1020.6,0,0,0,0,,,0,0,0,0,0,0
2003,2,10,6,,8,4,3.6,93.2,1020.8,0,0,0,0,,,0,0,0,0,0,0
2003,2,10,7,,3,2.9,2.7,96.4,1020.8,310,2,0,0,,,0,0,0,0,0,0
2003,2,10,8,,7,3.6,3.2,93,1021.1,270,2,0,0,,,0,0,0,0,0,0
2003,2,10,9,,8,3.9,3.5,93.1,1021.6,290,2,4.7,4.7,,,0,0,0,0,0,0
2003,2,10,10,,8,4.6,4.1,91.7,1021.7,240,2,20.3,20.3,,,0,0,0,0,0,0
2003,2,10,11,,8,5.7,4.9,87.4,1021.8,200,2,35.8,35.8,,,0,0,0,0,0,0
2003,2,10,12,,8,6.4,5.6,87.8,1021.7,170,5,49.7,49.7,,,0,0,0,0,0,0
2003,2,10,13,,8,6.5,5.6,86.5,1021.6,160,9,96.4,96.4,,,0,0,0,0,0,0
2003,2,10,14,,8,6.5,5.5,84.8,1021.2,170,9,75.6,75.6,,,0,0,0,0,0,0
2003,2,10,15,,8,6.7,5.6,83.5,1020.7,170,7,97.8,97.8,,,0,0,0,0,0,0
2003,2,10,16,,8,6.7,5.5,82,1020.7,180,6,57.5,57.5,,,0,0,0,0,0,0
2003,2,10,17,,7,6.7,5.5,82,1020.2,160,9,19.7,19.7,,,0,0,0,0,0,0
2003,2,10,18,,7,6.6,5.4,81.9,1020.6,170,8,6.7,6.7,,,0,0,0,0,0,0
2003,2,10,19,,7,6.2,5.3,86.3,1020.9,170,7,0,0,,,0,0,0,0,0,0
2003,2,10,20,,7,6.2,5.3,86.3,1021.2,170,6,0,0,,,0,0,0,0,0,0
2003,2,10,21,,7,6,5.2,87.7,1021.3,170,8,0,0,,,0,0,0,0,0,0
2003,2,10,22,,7,6,5.2,87.7,1021.5,170,5,0,0,,,0,0,0,0,0,0
2003,2,10,23,,8,6,5.2,87.7,1021.6,170,6,0,0,,,0,0,0,0,0,0
2003,2,10,24,,5,6,5.2,87.7,1021.6,170,5,0,0,,,0,0,0,0,0,0
2003,2,11,1,,7,6,5.5,92.2,1021.9,170,3,0,0,,,0,0,0,0,0,0
2003,2,11,2,,3,5.9,5.5,93.6,1022,170,5,0,0,,,0,0,0,0,0,0
2003,2,11,3,,5,5.9,5.5,93.6,1022,190,4,0,0,,,0,0,0,0,0,0
2003,2,11,4,,7,5.1,4.7,93.4,1022,210,4,0,0,,,0,0,0,0,0,0
2003,2,11,5,,8,5,4.6,93.4,1021.7,210,2,0,0,,,0,0,0,0,0,0
2003,2,11,6,,7,5.1,4.6,91.8,1022.2,190,2,0,0,,,0,0,0,0,0,0
2003,2,11,7,,8,5,4.6,93.4,1022.6,160,3,0,0,,,0,0,0,0,0,0
2003,2,11,8,,8,5.1,4.7,93.4,1022.9,160,4,0,0,,,0,0,0,0,0,0
2003,2,11,9,,8,5.3,4.8,91.9,1023.6,150,3,8.3,8.1,,,0,0,0,0,0,0
2003,2,11,10,,8,5.8,5.3,92.2,1024.2,150,4,35,34.7,,,0,0,0,0,0,0
2003,2,11,11,,8,6.1,5.6,92.3,1024.6,150,5,70,70,,,0,0,0,0,0,0
2003,2,11,12,,8,6.2,5.8,93.8,1025,170,4,69.7,69.7,,,0,0,0,0,0,0
2003,2,11,13,,8,6.4,5.9,92.3,1025.3,170,5,77.2,77.2,,,0,0,0,0,0,0
2003,2,11,14,,8,6.5,6.1,93.9,1025.3,200,3,85.6,85.6,,,0,0,0,0,0,0
2003,2,11,15,,8,6.6,6.3,95.4,1025.2,200,2,45.6,45.6,,,0,0,0,0,0,0
2003,2,11,16,,8,6.6,6.4,97,1025.3,200,2,28.1,27.8,,,0,0,0,0,0,0
2003,2,11,17,,8,6.8,6.4,94,1025.6,200,2,22.2,21.9,,,0,0,0,0,0,0
2003,2,11,18,,8,6.8,6.4,94,1026,190,2,6.4,6.4,,,0,0,0,0,0,0
2003,2,11,19,,8,6.6,6.4,97,1026.5,200,3,0,0,,,0,0,0,0,0,0
2003,2,11,20,,8,6.3,6.1,97,1026.8,210,5,0,0,,,0,0,0,0,0,0
2003,2,11,21,,8,6.1,5.9,96.9,1026.9,210,3,0,0,,,0,0,0,0,0,0
2003,2,11,22,,8,5.9,5.7,96.9,1027.2,220,3,0,0,,,0,0,0,0,0,0
2003,2,11,23,,8,6,5.8,96.9,1027.2,0,0,0,0,,,0,0,0,0,0,0
2003,2,11,24,,8,6.1,5.6,92.3,1027.3,0,0,0,0,,,0,0,0,0,0,0
2003,2,12,1,,8,5.9,5.6,95.3,1027.3,0,0,0,0,,,0,0,0,0,0,0
2003,2,12,2,,8,5.8,5.5,95.2,1027.5,0,0,0,0,,,0,0,0,0,0,0
2003,2,12,3,,8,5.8,5.5,95.2,1027.4,220,1,0,0,,,0,0,0,0,0,0
2003,2,12,4,,1,5.7,5.6,98.5,1027.4,0,0,0,0,,,0,0,0,0,0,0
2003,2,12,5,,1,5.7,5.5,96.8,1027.2,0,0,0,0,,,0,0,0,0,0,0
2003,2,12,6,,7,5.7,5.5,96.8,1027.3,0,0,0,0,,,0,0,0,0,0,0
2003,2,12,7,,8,5.9,5.7,96.9,1027.3,0,0,0,0,,,0,0,0,0,0,0
2003,2,12,8,,8,5.9,5.7,96.9,1027.4,290,1,0,0,,,0,0,0,0,0,0
2003,2,12,9,,8,6.4,6.2,96.9,1027.8,20,4,2.2,2.2,,,0,0,0,0,0,0
2003,2,12,10,,8,6.8,6.4,94,1028.2,20,5,10.8,10.8,,,0,0,0,0,0,0
2003,2,12,11,,8,6.8,6.2,91,1028.4,10,6,21.7,21.7,,,0,0,0,0,0,0
2003,2,12,12,,8,7.1,6.3,88.1,1028.5,30,7,18.9,18.9,,,0,0,0,0,0,0
2003,2,12,13,,8,7.1,6.4,89.6,1028.5,20,7,20.8,20.8,,,0,0,0,0,0,0
2003,2,12,14,,8,6.6,6.2,93.8,1028.5,10,7,33.3,33.3,,,0,0,0,0,0,0
2003,2,12,15,,8,6.5,6.1,93.9,1028.3,10,7,51.7,51.4,,,0,0,0,0,0,0
2003,2,12,16,,8,6.4,5.9,92.3,1028,360,7,15.8,15.8,,,0,0,0,0,0,0
2003,2,12,17,,8,6.5,6.1,93.9,1028.1,20,5,10.3,10.3,,,0,0,0,0,0,0
2003,2,12,18,,8,6.4,5.9,92.3,1028.3,50,7,3.1,2.5,,,0,0,0,0,0,0
2003,2,12,19,,8,5.9,5.6,95.3,1028.6,70,6,0,0,,,0,0,0,0,0,0
2003,2,12,20,,8,5.4,4.9,92,1028.8,80,5,0,0,,,0,0,0,0,0,0
2003,2,12,21,,8,5.3,4.6,88.7,1028.9,70,6,0,0,,,0,0,0,0,0,0
2003,2,12,22,,8,4.4,3.9,91.6,1028.9,70,7,0,0,,,0,0,0,0,0,0
2003,2,12,23,,8,4.4,3.9,91.6,1028.9,80,5,0,0,,,0,0,0,0,0,0
2003,2,12,24,,8,3.8,3.1,87.9,1028.9,90,7,0,0,,,0,0,0,0,0,0
2003,2,13,1,,7,3.8,2.9,84.7,1028.9,70,6,0,0,,,0,0,0,0,0,0
2003,2,13,2,,8,3,1.9,80.6,1029,80,9,0,0,,,0,0,0,0,0,0
2003,2,13,3,,8,2.5,1.1,74.8,1029,60,8,0,0,,,0,0,0,0,0,0
2003,2,13,4,,8,2.2,0.9,76.1,1028.6,30,5,0,0,,,0,0,0,0,0,0
2003,2,13,5,,8,2.2,1,77.9,1028.5,50,8,0,0,,,0,0,0,0,0,0
2003,2,13,6,,8,1.8,0.6,77.4,1028.5,70,5,0,0,,,0,0,0,0,0,0
2003,2,13,7,,8,1.7,0.5,77.4,1028.3,60,9,0,0,,,0,0,0,0,0,0
2003,2,13,8,,8,1.6,0.4,77.3,1028.2,70,9,0,0,,,0,0,0,0,0,0
2003,2,13,9,,8,1.3,-0.3,71.2,1028.6,80,9,3.6,3.6,,,0,0,0,0,0,0
2003,2,13,10,,7,1.1,-0.8,65.1,1028.8,70,10,23.6,23.6,,,0,0,0,0,0,0
2003,2,13,11,,8,1,-0.8,66.8,1028.7,70,8,57.5,57.5,,,0,0,0,0,0,0
2003,2,13,12,,7,1,-1.2,59.4,1028.6,80,11,95.3,95.3,,,0,0,0,0,0,0
2003,2,13,13,,7,1.1,-1.2,57.9,1028.5,90,10,145,121.4,,,0,0,0,0,0,0
2003,2,13,14,,6,1.3,-1,58.4,1028,90,10,357.8,195.6,,,0,0,0,0,0,0
2003,2,13,15,,3,1.8,-0.6,57.9,1027.5,70,8,356.9,171.7,,,0,0,0,0,0,0
2003,2,13,16,,2,2.4,-0.3,54.5,1027.1,80,9,226.1,96.1,,,0,0,0,0,0,0
2003,2,13,17,,4,2.4,0.9,72.9,1026.9,90,7,160.6,88.3,,,0,0,0,0,0,0
2003,2,13,18,,7,1.9,-0.5,58.3,1026.9,50,10,33.3,26.7,,,0,0,0,0,0,0
2003,2,13,19,,7,1.2,-0.8,63.7,1027.2,70,5,0,0,,,0,0,0,0,0,0
2003,2,13,20,,7,0.9,-0.9,66.6,1027.3,50,3,0,0,,,0,0,0,0,0,0
2003,2,13,21,,7,-0.3,-1.5,75.4,1027.3,20,3,0,0,,,0,0,0,0,0,0
2003,2,13,22,,7,-0.7,-1.6,80.6,1027.2,10,3,0,0,,,0,0,0,0,0,0
2003,2,13,23,,2,-0.5,-1.5,79.1,1027.4,40,3,0,0,,,0,0,0,0,0,0
2003,2,13,24,,7,0.3,-0.7,80.6,1027.5,40,5,0,0,,,0,0,0,0,0,0
2003,2,14,1,,8,0.3,-0.8,78.7,1027.4,50,5,0,0,,,0,0,0,0,0,0
2003,2,14,2,,8,-0.9,-1.8,80.2,1027.5,30,3,0,0,,,0,0,0,0,0,0
2003,2,14,3,,8,-0.4,-1.2,83.3,1027.5,30,5,0,0,,,0,0,0,0,0,0
2003,2,14,4,,4,-1.2,-1.9,83.9,1027.3,10,4,0,0,,,0,0,0,0,0,0
2003,2,14,5,,5,-1.4,-2,86,1027.4,20,6,0,0,,,0,0,0,0,0,0
2003,2,14,6,,7,-1,-1.6,86.4,1028,20,5,0,0,,,0,0,0,0,0,0
2003,2,14,7,,2,-1.4,-2,86,1028.2,10,6,0,0,,,0,0,0,0,0,0
2003,2,14,8,,0,-2.1,-2.6,86.8,1028.8,10,5,0,0,,,0,0,0,0,0,0
2003,2,14,9,,0,-1.8,-2.3,87.5,1029.4,30,5,27.8,20,,,0,0,0,0,0,0
2003,2,14,10,,0,-0.5,-1.3,83.2,1030.1,20,5,123.9,67.2,,,0,0,0,0,0,0
2003,2,14,11,,0,1.1,-0.3,74.3,1030.5,40,7,245.3,98.6,,,0,0,0,0,0,0
2003,2,14,12,,1,2.4,0.5,65.8,1030.7,60,10,330.3,123.1,,,0,0,0,0,0,0
2003,2,14,13,,1,3.2,0.8,58.4,1030.7,60,10,362.2,167.2,,,0,0,0,0,0,0
