Column, Variable, Description, Units, Notes,,,,,,,,,,,,,,,,,
1, Year,,,,,,,,,,,,,,,,,,,,
2, Month,,,,,,,,,,,,,,,,,,,,
3, Date,,,,,,,,,,,,,,,,,,,,
4, Hour,,,,,,,,,,,,,,,,,,,,
5, PWC, , , (on hour GMT),,,,,,,,,,,,,,,,,
6, CC, Cloud amount, oktas, (on hour GMT),,,,,,,,,,,,,,,,,
7, DBT, Dry Bulb Temperature, degrees Celcius, (on hour GMT),,,,,,,,,,,,,,,,,
8, WBT, Wet Bulb Temperature, degrees Celcius, (on hour GMT),,,,,,,,,,,,,,,,,
9, RH, Relative Humidity, % (on hour GMT),,,,,,,,,,,,,,,,,,
10, Press, Mean Sea Level Pressure, hPa, (on hour GMT),,,,,,,,,,,,,,,,,
11, WD, Wind Direction, degrees, (average over previous hour GMT),,,,,,,,,,,,,,,,,
12, WS, Wind Speed, knots, (average over previous hour GMT),,,,,,,,,,,,,,,,,
13, GSR, Global Irradiation (horizontal plane), W/m^2, (average over next hour in LAT),,,,,,,,,,,,,,,,,
14, DSR, Diffuse Irradiation (horizontal plane), W/m^2, (average over next hour in LAT),,,,,,,,,,,,,,,,,
15, Alt, Solar Altitude, degrees, (calculated on next half-hour in LAT),,,,,,,,,,,,,,,,,
16, Dec, Solar Declination, degrees, (calculated on next half-hour in LAT),,,,,,,,,,,,,,,,,
17-22, Missing Data Codes, see accompanying documentation for description,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Model parameters,,,,,,,,,,,,,,,,,,,,,
2003,1,2,17,,7,7.9,7.1,88.7,986.3,280,14,8.3,8.3,,,0,0,0,0,0,0
2003,1,2,18,,7,7.9,6.9,85.9,987.8,270,11,0,0,,,0,0,0,0,0,0
2003,1,2,19,,7,8,6.8,83.2,989.2,250,11,0,0,,,0,0,0,0,0,0
2003,1,2,20,,7,8.3,7,82.1,990,260,11,0,0,,,0,0,0,0,0,0
2003,1,2,21,,8,8.3,7.2,84.8,990.6,240,10,0,0,,,0,0,0,0,0,0
2003,1,2,22,,7,8.2,7.1,84.7,990.9,250,12,0,0,,,0,0,0,0,0,0
2003,1,2,23,,8,8.7,7.4,82.4,991.2,240,14,0,0,,,0,0,0,0,0,0
2003,1,2,24,,7,8.5,7.6,87.7,991.8,240,12,0,0,,,0,0,0,0,0,0
2003,1,3,1,,7,8.5,7.5,86.3,992.3,240,10,0,0,,,0,0,0,0,0,0
2003,1,3,2,,7,8.4,7.3,84.9,992.9,240,11,0,0,,,0,0,0,0,0,0
2003,1,3,3,,6,7.9,6.6,81.8,993.2,240,9,0,0,,,0,0,0,0,0,0
2003,1,3,4,,4,7.3,6.4,87.1,993.6,230,7,0,0,,,0,0,0,0,0,0
2003,1,3,5,,7,8,6.9,84.6,993.7,240,9,0,0,,,0,0,0,0,0,0
2003,1,3,6,,7,7.9,6.5,80.4,993.8,250,10,0,0,,,0,0,0,0,0,0
2003,1,3,7,,7,7.8,5.8,72,994.2,270,11,0,0,,,0,0,0,0,0,0
2003,1,3,8,,4,6.8,5.1,75.3,994.5,260,9,0,0,,,0,0,0,0,0,0
2003,1,3,9,,2,6,4.7,80.3,995.2,250,4,0,0,,,0,0,0,0,0,0
2003,1,3,10,,4,5.8,4.4,78.7,996.1,270,6,29.7,16.7,,,0,0,0,0,0,0
2003,1,3,11,,6,6.6,5,76.5,996.3,300,5,110.6,55.3,,,0,0,0,0,0,0
2003,1,3,12,,7,6.6,5.1,77.9,996.7,290,7,116.4,102.8,,,0,0,0,0,0,0
2003,1,3,13,,7,5.6,5,90.7,997,360,10,94.2,89.4,,,0,0,0,0,0,0
2003,1,3,14,,8,4.8,3.9,85.6,997.6,10,10,61.7,61.4,,,0,0,0,0,0,0
2003,1,3,15,,7,4.3,3.6,88.4,998.4,10,10,32.8,32.8,,,0,0,0,0,0,0
2003,1,3,16,,8,4.2,3.3,85.1,999.3,30,10,11.7,11.4,,,0,0,0,0,0,0
