timestep,Standard Tariff,7-Hour Off Peak Tariff,10-Hour Off Peak Tariff,Variable Time of Day Tariff,Export Tariff
130,25.16,29.8,35.01,13.43624864,10.00
131,25.16,29.8,35.01,19.84852428,10.00
132,25.16,29.8,35.01,23.65055809,10.00
133,25.16,29.8,35.01,15.62064649,10.00
134,25.16,29.8,35.01,14.92145983,10.00
135,25.16,29.8,35.01,22.34012588,10.00
136,25.16,29.8,35.01,17.94783786,10.00
137,25.16,29.8,35.01,19.18116678,10.00
138,25.16,29.8,35.01,14.01071096,10.00
139,25.16,29.8,35.01,26.90461779,10.00
140,25.16,29.8,35.01,13.45761191,10.00
141,25.16,29.8,35.01,4.820881694,10.00
142,25.16,29.8,35.01,13.99469246,10.00
143,25.16,29.8,35.01,18.58736144,10.00
144,25.16,14.6,16.04,10.86882389,10.00
145,25.16,14.6,16.04,9.73119301,10.00
146,25.16,14.6,16.04,14.51708969,10.00
147,25.16,14.6,16.04,9.33750243,10.00
148,25.16,14.6,16.04,20.43159855,10.00
149,25.16,14.6,16.04,19.92931503,10.00
150,25.16,14.6,16.04,19.32378448,10.00
151,25.16,14.6,16.04,13.91385999,10.00
152,25.16,14.6,16.04,9.735673461,10.00
153,25.16,14.6,16.04,9.206911668,10.00
154,25.16,14.6,16.04,16.91338823,10.00
155,25.16,14.6,16.04,22.40990848,10.00
156,25.16,14.6,16.04,23.61436502,10.00
157,25.16,14.6,16.04,31.10000808,10.00
158,25.16,29.8,35.01,29.8825069,10.00
159,25.16,29.8,35.01,27.54756347,10.00
160,25.16,29.8,35.01,23.00491083,10.00
161,25.16,29.8,35.01,18.66503225,10.00
162,25.16,29.8,35.01,30.40818367,10.00
163,25.16,29.8,35.01,28.7768098,10.00
164,25.16,29.8,35.01,23.43967965,10.00
165,25.16,29.8,35.01,29.33354416,10.00
166,25.16,29.8,35.01,17.43624192,10.00
167,25.16,29.8,35.01,23.91548325,10.00
168,25.16,29.8,35.01,22.11709382,10.00
169,25.16,29.8,35.01,21.87303483,10.00
170,25.16,29.8,35.01,21.8629327,10.00
171,25.16,29.8,16.04,17.89924965,10.00
172,25.16,29.8,16.04,11.23654906,10.00
173,25.16,29.8,16.04,9.185967349,10.00
174,25.16,29.8,16.04,23.48605178,10.00
175,25.16,29.8,16.04,17.17841734,10.00
176,25.16,29.8,16.04,22.92653575,10.00
177,25.16,29.8,35.01,17.92950286,10.00
178,25.16,29.8,35.01,13.84951881,10.00
179,25.16,29.8,35.01,20.4590223,10.00
180,25.16,29.8,35.01,24.37799851,10.00
181,25.16,29.8,35.01,16.10110406,10.00
182,25.16,29.8,35.01,15.38041191,10.00
183,25.16,29.8,35.01,23.02726021,10.00
184,25.16,29.8,35.01,18.49987484,10.00
185,25.16,29.8,35.01,19.77113831,10.00
186,25.16,29.8,35.01,14.44165036,10.00
187,25.16,29.8,35.01,27.7321461,10.00
188,25.16,29.8,35.01,13.79417397,10.00
189,25.16,29.8,35.01,4.941447357,10.00
190,25.16,29.8,35.01,14.34468639,10.00
191,25.16,29.8,35.01,19.05221366,10.00
192,25.16,14.6,16.04,10.98912881,10.00
193,25.16,14.6,16.04,9.838905712,10.00
194,25.16,14.6,16.04,14.67777656,10.00
195,25.16,14.6,16.04,9.440857446,10.00
196,25.16,14.6,16.04,20.65775198,10.00
197,25.16,14.6,16.04,20.14990878,10.00
198,25.16,14.6,16.04,19.53767572,10.00
199,25.16,14.6,16.04,14.06786983,10.00
200,25.16,14.6,16.04,9.843435755,10.00
201,25.16,14.6,16.04,9.3088212,10.00
202,25.16,14.6,16.04,17.10059926,10.00
203,25.16,14.6,16.04,22.65795944,10.00
204,25.16,14.6,16.04,23.9340388,10.00
205,25.16,14.6,16.04,31.52101695,10.00
206,25.16,29.8,35.01,30.28703414,10.00
207,25.16,29.8,35.01,27.92048197,10.00
208,25.16,29.8,35.01,23.31633427,10.00
209,25.16,29.8,35.01,18.91770563,10.00
210,25.16,29.8,35.01,30.81982713,10.00
211,25.16,29.8,35.01,29.16636893,10.00
212,25.16,29.8,35.01,23.75698867,10.00
213,25.16,29.8,35.01,29.73063995,10.00
214,25.16,29.8,35.01,17.67228084,10.00
215,25.16,29.8,35.01,24.23923335,10.00
216,25.16,29.8,35.01,22.41649865,10.00
217,25.16,29.8,35.01,22.16913578,10.00
218,25.16,29.8,35.01,22.15889689,10.00
219,25.16,29.8,16.04,18.14155643,10.00
220,25.16,29.8,16.04,11.38866114,10.00
221,25.16,29.8,16.04,9.31032017,10.00
222,25.16,29.8,16.04,23.80398855,10.00
223,25.16,29.8,16.04,17.41096603,10.00
224,25.16,29.8,16.04,23.2368982,10.00
225,25.16,29.8,35.01,18.17221919,10.00
226,25.16,29.8,35.01,14.03700334,10.00
227,25.16,29.8,35.01,20.73598138,10.00
228,25.16,29.8,35.01,24.70800979,10.00
229,25.16,29.8,35.01,16.31906888,10.00
230,25.16,29.8,35.01,15.58862053,10.00
231,25.16,29.8,35.01,23.3389862,10.00
232,25.16,29.8,35.01,18.75031244,10.00
233,25.16,29.8,35.01,20.03878534,10.00
234,25.16,29.8,35.01,14.63715072,10.00
235,25.16,29.8,35.01,28.10756335,10.00
236,25.16,29.8,35.01,13.94685903,10.00
237,25.16,29.8,35.01,4.996143286,10.00
238,25.16,29.8,35.01,14.50346497,10.00
239,25.16,29.8,35.01,19.26309894,10.00
240,25.16,14.6,16.04,10.49000655,10.00
241,25.16,14.6,16.04,9.392026171,10.00
242,25.16,14.6,16.04,14.01111726,10.00
243,25.16,14.6,16.04,9.012057113,10.00
244,25.16,14.6,16.04,19.71948435,10.00
245,25.16,14.6,16.04,19.23470721,10.00
246,25.16,14.6,16.04,18.65028156,10.00
247,25.16,14.6,16.04,13.42891226,10.00
248,25.16,14.6,16.04,9.396350462,10.00
249,25.16,14.6,16.04,8.886017906,10.00
250,25.16,14.6,16.04,16.32389623,10.00
251,25.16,14.6,16.04,21.62884311,10.00
252,25.16,14.6,16.04,22.607773,10.00
253,25.16,14.6,16.04,29.7743311,10.00
254,25.16,29.8,35.01,28.60872744,10.00
255,25.16,29.8,35.01,26.37331391,10.00
256,25.16,29.8,35.01,22.02429756,10.00
