no_hholds,decile,median_daily_dhw_vol,min_daily_dhw_vol,max_daily_dhw_vol,calibration_daily_dhw_vol,calibration_DHW_variance
505,1,31.245666844,16.232999958,39.457833002,40.61434522229306,3.371964804219059
360,2,46.104333008999994,39.457833002,52.053749509999996,57.02385947139205,4.424124201229542
330,3,57.44666672499999,52.053749509999996,63.268333330999994,68.85275756691041,6.441150702856938
304,4,68.22724999299999,63.268333330999994,74.14575133,79.43794358468973,8.102550412041563
260,5,79.10933295999999,74.14575133,83.81683407999999,89.4213222193085,8.28366563575061
253,6,90.39333443,83.81683407999999,95.56633226,98.60413670509789,9.71567969536325
242,7,101.5524993,95.56633226,108.21883366,110.92545850683688,13.18371904473141
221,8,116.16149936999999,108.21883366,125.43533330999999,124.52799610758927,15.800005649394528
207,9,134.15733471,125.43533330999999,147.88316731999998,140.8698704848124,18.39992196904102
185,10,162.86433289,147.88316731999998,181.71766745999997,167.91234714530597,25.190260204292244
