hour,event_count,no_hholds,day_name,day_wk_mon1,simple_labels2_based_on_900k_sample
8,14100,,Wednesday,,1_long_tap
9,10083,,Wednesday,,1_long_tap
10,7355,,Wednesday,,1_long_tap
11,5399,,Wednesday,,1_long_tap
12,4139,,Wednesday,,1_long_tap
13,3751,,Wednesday,,1_long_tap
14,4030,,Wednesday,,1_long_tap
15,5866,,Wednesday,,1_long_tap
16,8801,,Wednesday,,1_long_tap
17,12421,,Wednesday,,1_long_tap
18,13378,,Wednesday,,1_long_tap
19,11145,,Wednesday,,1_long_tap
20,7852,,Wednesday,,1_long_tap
21,5164,,Wednesday,,1_long_tap
22,2670,,Wednesday,,1_long_tap
23,1100,,Wednesday,,1_long_tap
0,502,,Thursday,,1_long_tap
1,315,,Thursday,,1_long_tap
2,294,,Thursday,,1_long_tap
3,767,,Thursday,,1_long_tap
4,2739,,Thursday,,1_long_tap
5,9730,,Thursday,,1_long_tap
6,17540,,Thursday,,1_long_tap
7,18202,,Thursday,,1_long_tap
8,14332,,Thursday,,1_long_tap
9,10245,,Thursday,,1_long_tap
10,7227,,Thursday,,1_long_tap
11,5349,,Thursday,,1_long_tap
12,4104,,Thursday,,1_long_tap
13,3816,,Thursday,,1_long_tap
14,4130,,Thursday,,1_long_tap
15,5787,,Thursday,,1_long_tap
16,8686,,Thursday,,1_long_tap
17,12156,,Thursday,,1_long_tap
18,12787,,Thursday,,1_long_tap
19,11114,,Thursday,,1_long_tap
20,8048,,Thursday,,1_long_tap
21,5225,,Thursday,,1_long_tap
22,2683,,Thursday,,1_long_tap
23,1266,,Thursday,,1_long_tap
0,584,,Friday,,1_long_tap
1,364,,Friday,,1_long_tap
2,285,,Friday,,1_long_tap
3,743,,Friday,,1_long_tap
4,2678,,Friday,,1_long_tap
5,9325,,Friday,,1_long_tap
6,17410,,Friday,,1_long_tap
7,19329,,Friday,,1_long_tap
8,15743,,Friday,,1_long_tap
9,12127,,Friday,,1_long_tap
10,8660,,Friday,,1_long_tap
11,6343,,Friday,,1_long_tap
12,5115,,Friday,,1_long_tap
13,4595,,Friday,,1_long_tap
14,5074,,Friday,,1_long_tap
15,6683,,Friday,,1_long_tap
16,9504,,Friday,,1_long_tap
17,11659,,Friday,,1_long_tap
18,11301,,Friday,,1_long_tap
19,9064,,Friday,,1_long_tap
20,6420,,Friday,,1_long_tap
21,4469,,Friday,,1_long_tap
22,2508,,Friday,,1_long_tap
23,1294,,Friday,,1_long_tap
0,639,,Saturday,,1_long_tap
1,358,,Saturday,,1_long_tap
2,277,,Saturday,,1_long_tap
3,363,,Saturday,,1_long_tap
4,1045,,Saturday,,1_long_tap
5,3465,,Saturday,,1_long_tap
6,8715,,Saturday,,1_long_tap
7,15374,,Saturday,,1_long_tap
8,19136,,Saturday,,1_long_tap
9,18669,,Saturday,,1_long_tap
10,14603,,Saturday,,1_long_tap
11,10805,,Saturday,,1_long_tap
12,8152,,Saturday,,1_long_tap
13,6709,,Saturday,,1_long_tap
14,6418,,Saturday,,1_long_tap
15,7286,,Saturday,,1_long_tap
16,9017,,Saturday,,1_long_tap
17,10412,,Saturday,,1_long_tap
18,9670,,Saturday,,1_long_tap
19,7227,,Saturday,,1_long_tap
20,5246,,Saturday,,1_long_tap
21,3786,,Saturday,,1_long_tap
22,2362,,Saturday,,1_long_tap
23,1219,,Saturday,,1_long_tap
0,623,,Sunday,,1_long_tap
1,368,,Sunday,,1_long_tap
2,196,,Sunday,,1_long_tap
3,283,,Sunday,,1_long_tap
4,721,,Sunday,,1_long_tap
5,2237,,Sunday,,1_long_tap
6,6211,,Sunday,,1_long_tap
7,12858,,Sunday,,1_long_tap
8,19182,,Sunday,,1_long_tap
9,20079,,Sunday,,1_long_tap
10,15973,,Sunday,,1_long_tap
11,11767,,Sunday,,1_long_tap
12,8668,,Sunday,,1_long_tap
13,6844,,Sunday,,1_long_tap
14,6495,,Sunday,,1_long_tap
15,7451,,Sunday,,1_long_tap
16,9801,,Sunday,,1_long_tap
17,12881,,Sunday,,1_long_tap
18,13674,,Sunday,,1_long_tap
19,10904,,Sunday,,1_long_tap
20,7319,,Sunday,,1_long_tap
21,4857,,Sunday,,1_long_tap
22,2603,,Sunday,,1_long_tap
23,1201,,Sunday,,1_long_tap
